abbr,pollution,climate
AFG,,
ALB,77.3,86.3
DZA,,
AND,,
AGO,,
ATG,,
ARG,50.8,94.9
ARM,61.8,63.4
AUS,26.9,94.2
AUT,20.6,76.6
AZE,72,91.4
BHS,,
BHR,,
BGD,85.6,72.9
BRB,,
BLR,44.5,69.3
BEL,49.2,86.4
BLZ,,
BEN,,
BTN,,
BOL,,
BIH,59.7,82.9
BWA,,
BRA,52.8,91.8
BRN,,
BGR,62.8,81.5
BFA,,
BDI,,
KHM,,
CMR,,
CAN,29.8,55.9
CPV,,
CYM,,
CAF,,
TCD,,
CHL,77.4,95.6
CHN,76.7,73.6
COL,62.2,82.3
COM,,
COG,,
COK,,
CRI,41.6,93.1
CIV,,
HRV,31.6,89.9
CUB,,
CYP,55.4,93.3
CZE,34.6,78.7
COD,,
DNK,20.9,81.2
DJI,,
DMA,,
DOM,,
ECU,59.1,94.5
EGY,82.7,90.8
SLV,,
GNQ,,
ERI,,
EST,16.9,71.2
SWZ,,
ETH,,
FLK,,
FJI,,
FIN,11.7,54.4
FRA,43.7,89.9
GUF,,
GAB,,
GMB,,
GEO,67.6,88.5
DEU,28.8,82.8
GHA,,
GRC,49.4,93.1
GRL,,
GRD,,
GTM,,
GIN,,
GNB,,
GUY,,
HTI,,
HND,,
HUN,46.7,79.3
ISL,16.7,68.8
IND,72.8,64.5
IDN,68.1,66.7
IRN,75.3,66.9
IRQ,,
IRL,34.9,89.8
ISR,56.7,93.8
ITA,53.4,90.1
JAM,,
JPN,38.2,84.1
JOR,77.1,91.2
KAZ,72.9,38.8
KEN,69,87.1
KIR,,
KWT,69.4,20.2
KGZ,,
LAO,,
LVA,30.1,76.8
LBN,89.6,94.7
LSO,,
LBR,,
LBY,,
LIE,,
LTU,25.9,69.9
LUX,22.9,82.6
MDG,,
MWI,,
MYS,60.9,58.3
MDV,,
MLI,,
MLT,75.7,97.8
MHL,,
MRT,,
MUS,,
MEX,58.3,83.3
FSM,,
MDA,,
MCO,,
MNG,,
MNE,,
MAR,68.4,91.7
MOZ,,
MMR,,
NAM,,
NPL,,
NLD,20.9,86.8
NCL,,
NZL,26,97.3
NIC,,
NER,,
NGA,87.9,66.3
PRK,,
MKD,79.2,79.2
NOR,18.3,70.9
OMN,36.4,71.3
PAK,73.2,70.8
PLW,,
PSE,,
PAN,55.6,68.2
PNG,,
PRY,,
PER,81.9,93.3
PHL,72.5,69
POL,55.3,75.6
PRT,29.5,97.7
PRI,47.9,71.2
QAT,60,36
ROU,58.2,76.3
RUS,58.5,36.3
RWA,,
KNA,,
LCA,,
VCT,,
WSM,,
SMR,,
STP,,
SAU,62.4,39.3
SEN,,
SRB,65.9,83.2
SYC,,
SLE,,
SGP,32.3,57.5
SVK,37.1,73.9
SVN,22.2,80.6
SLB,,
SOM,,
ZAF,56.7,95.4
KOR,57.5,68.5
SSD,,
ESP,35.3,92.7
LKA,58,64.1
SDN,,
SUR,,
SWE,17.6,64.7
CHE,24,80.6
SYR,,
TUR,64.1,90.2
TWN,64.1,83.9
TJK,,
TZA,,
THA,75.6,69.3
TLS,,
TGO,,
TON,,
TTO,,
TUN,69.7,94.1
TKM,,
TUV,,
UGA,,
UKR,62.2,71.9
ARE,48.2,43.4
GBR,40.7,88.1
USA,36.9,76.1
URY,43.3,98.5
UZB,,
VUT,,
VEN,73.7,77.1
VNM,83.8,71.1
ESH,,
YEM,,
ZMB,,
ZWE,,