abbr,prideScore,transSafety,racismRank
AFG,-21,false,
ALB,-2,false,
DZA,-12,false,41
AND,8,false,
AGO,-3,false,
ATG,-3,false,
ARG,8,false,22
ARM,-6,false,
AUS,9,false,12
AUT,9,false,13
AZE,-10,false,81
BHS,-10,false,
BHR,-9,false,87
BGD,-9,false,79
BRB,-4,false,
BLR,-11,false,88
BEL,8,true,9
BLZ,-3,false,
BEN,-6,false,
BTN,-2,false,
BOL,0,false,
BIH,-1,false,
BWA,-4,false,
BRA,6,false,14
BRN,-14,false,
BGR,-5,false,43
BFA,-8,false,
BDI,-10,false,
KHM,-4,false,83
CMR,-13,false,44
CAN,12,false,5
CPV,-4,false,
CYM,0,false,
CAF,-10,false,
TCD,-11,false,
CHL,9,false,24
CHN,-5,false,75
COL,9,false,27
COM,-10,false,
COG,-5,false,
COK,-6,false,
CRI,7,false,52
CIV,-12,false,
HRV,2,false,42
CUB,6,false,
CYP,-1,false,74
CZE,1,false,59
COD,-10,false,
DNK,10,true,1
DJI,-11,false,
DMA,-11,false,
DOM,-11,false,63
ECU,3,false,49
EGY,-14,false,30
SLV,-5,false,84
GNQ,-10,false,
ERI,-13,false,
EST,6,false,50
SWZ,-12,false,
ETH,-14,false,
FLK,,false,
FJI,-3,false,
FIN,9,true,4
FRA,8,true,20
GUF,,false,
GAB,-8,false,
GMB,-11,false,
GEO,-6,false,
DEU,10,true,21
GHA,-12,false,40
GRC,5,true,37
GRL,8,false,
GRD,-8,false,
GTM,-9,false,60
GIN,-9,false,
GNB,,false,
GUY,-10,false,
HTI,-10,false,
HND,-7,false,66
HUN,-5,false,69
ISL,10,true,7
IND,3,false,68
IDN,-13,false,46
IRN,-21,false,89
IRQ,-14,false,
IRL,9,true,10
ISR,5,false,80
ITA,-1,false,23
JAM,-12,false,
JPN,-3,false,62
JOR,-10,false,67
KAZ,-5,false,51
KEN,-10,false,29
KIR,-7,false,
KWT,-16,false,70
KGZ,-7,false,
LAO,-3,false,
LVA,-1,false,34
LBN,-8,false,73
LSO,-5,false,
LBR,-11,false,
LBY,-16,false,
LIE,1,false,
LTU,-4,false,57
LUX,9,true,18
MDG,-11,false,
MWI,-14,false,
MYS,-15,false,33
MDV,-11,false,
MLI,-6,false,
MLT,12,true,
MHL,-3,false,
MRT,-12,false,
MUS,-5,false,
MEX,4,false,36
FSM,-4,false,
MDA,-5,false,
MCO,-3,false,
MNG,-3,false,
MNE,-1,false,
MAR,-14,false,47
MOZ,-5,false,
MMR,-10,false,86
NAM,-8,false,
NPL,1,false,
NLD,8,true,3
NCL,7,false,
NZL,12,false,2
NIC,-8,false,
NER,-5,false,
NGA,-17,false,
PRK,-11,false,
MKD,-3,false,
NOR,10,true,6
OMN,-12,false,56
PAK,-7,false,
PLW,-7,false,
PSE,,false,
PAN,-5,false,53
PNG,-10,false,
PRY,-8,false,
PER,-5,false,32
PHL,-7,false,25
POL,-7,false,38
PRT,12,true,17
PRI,4,false,
QAT,-16,false,76
ROU,-3,false,82
RUS,-17,false,72
RWA,-10,false,
KNA,-7,false,
LCA,-4,false,
VCT,-10,false,
WSM,-5,false,
SMR,1,false,
STP,-6,false,
SAU,-21,false,61
SEN,-13,false,
SRB,-3,false,65
SYC,-5,false,
SLE,-10,false,
SGP,-2,false,26
SVK,-2,false,58
SVN,6,false,39
SLB,-11,false,
SOM,-18,false,
ZAF,5,false,11
KOR,-2,false,85
SSD,-14,false,
ESP,12,true,19
LKA,-6,false,71
SDN,-12,false,
SUR,-5,false,
SWE,9,false,8
CHE,11,true,15
SYR,-13,false,
TUR,-10,false,64
TWN,9,false,
TJK,-9,false,
TZA,-15,false,
THA,0,false,45
TLS,0,false,
TGO,-10,false,
TON,-9,false,
TTO,-7,false,
TUN,-14,false,77
TKM,-14,false,
TUV,-8,false,
UGA,-18,false,
UKR,-2,false,48
ARE,-16,false,28
GBR,8,false,16
USA,4,false,55
URY,10,false,31
UZB,-11,false,78
VUT,-6,false,
VEN,-8,false,
VNM,-1,false,54
ESH,,false,
YEM,-19,false,
ZMB,-12,false,
ZWE,-12,false,35