abbr,propertyToIncome,col,purchasingPower
AFG,,19.1,
ALB,16.3,43.7,46.3
DZA,,26.8,
AND,,,
AGO,,,
ATG,,,
ARG,15.2,38.3,49.3
ARM,20.9,40.5,42.7
AUS,8.4,63,148.7
AUT,11.8,67.6,122
AZE,16.8,29.3,45.1
BHS,,85.4,
BHR,,46.1,
BGD,11.5,21.2,39.3
BRB,,,
BLR,12.6,25.3,67.4
BEL,6.6,63.6,131
BLZ,,42.3,
BEN,,,
BTN,,,
BOL,,25.5,
BIH,13.2,35.7,68.4
BWA,,41.7,
BRA,15.1,28.6,47.6
BRN,,46.1,
BGR,9.1,39.3,88.2
BFA,,,
BDI,,,
KHM,,33,
CMR,,39.6,
CAN,9.4,60.7,123.6
CPV,,,
CYM,,108.2,
CAF,,,
TCD,,,
CHL,15,35.8,58.1
CHN,25.2,29.4,90.4
COL,17.4,28,42
COM,,,
COG,,,
COK,,,
CRI,9.9,50.3,56.6
CIV,,,
HRV,12.1,48.6,98.1
CUB,,40.1,
CYP,8.2,55.2,90.6
CZE,13.6,48.2,97.6
COD,,46.5,
DNK,6.1,74.1,152.7
DJI,,,
DMA,,,
DOM,,34.7,
ECU,11,29.3,53.1
EGY,20.9,19.6,23.1
SLV,,37.6,
GNQ,,,
ERI,,,
EST,11.1,55.9,91.5
SWZ,,,
ETH,,41.6,
FLK,,,
FJI,,33.3,
FIN,7.8,64.5,142.9
FRA,9.9,64.4,122.8
GUF,,,
GAB,,,
GMB,,,
GEO,12,31.2,46.7
DEU,8.5,64.7,144.3
GHA,,31.1,
GRC,13.1,51,66.6
GRL,,,
GRD,,,
GTM,,37.9,
GIN,,,
GNB,,,
GUY,,46.9,
HTI,,,
HND,,34.1,
HUN,13.6,42.3,81.4
ISL,7.7,94.5,124.3
IND,11.7,19,85.5
IDN,16.3,24.6,34.1
IRN,18.7,22.7,32.8
IRQ,,27.1,
IRL,6.8,66.6,122.2
ISR,13.2,69.6,127.8
ITA,9,57.2,96
JAM,,50.1,
JPN,11.3,48.9,129.4
JOR,7.5,36.7,57.4
KAZ,9.7,26.6,56.5
KEN,20.7,28.5,36.9
KIR,,,
KWT,7.1,40.4,197.2
KGZ,,25.6,
LAO,,,
LVA,8.6,49,83.6
LBN,13.8,40.5,40.3
LSO,,,
LBR,,,
LBY,,17.2,
LIE,,,
LTU,11.1,48.3,92.9
LUX,9.6,73.5,183.1
MDG,,22.2,
MWI,,,
MYS,8.9,31.1,85.9
MDV,,46,
MLI,,,
MLT,10.8,53.1,86.4
MHL,,,
MRT,,,
MUS,,37,
MEX,11.6,37.6,52.6
FSM,,,
MDA,,33.5,
MCO,,,
MNG,,30.1,
MNE,,40,
MAR,13.5,30,45.5
MOZ,,35.7,
MMR,,,
NAM,,31.3,
NPL,,22.7,
NLD,7.4,68.1,144.5
NCL,,,
NZL,7.6,59.3,140.5
NIC,,32.5,
NER,,,
NGA,53.4,25.7,10.6
PRK,,,
MKD,12.5,33.6,66.5
NOR,8.5,78.9,133.3
OMN,2.8,39.3,170.9
PAK,14.3,17.7,34
PLW,,,
PSE,,43,
PAN,11,43.3,49.3
PNG,,65.6,
PRY,,22.8,
PER,16.9,30,49.1
PHL,24.3,29.5,41.3
POL,10.9,43.7,103.3
PRT,14.6,45.8,67.7
PRI,5,59.8,122.6
QAT,6.2,46.9,177.6
ROU,10.4,38.3,81.7
RUS,15.5,36.1,64.3
RWA,,29.7,
KNA,,,
LCA,,,
VCT,,,
WSM,,,
SMR,,,
STP,,,
SAU,3.5,41.5,155
SEN,,45,
SRB,15.8,40.9,65.4
SYC,,,
SLE,,,
SGP,22.4,85.3,108
SVK,13.2,46.7,83.3
SVN,13.4,50.6,92.6
SLB,,,
SOM,,,
ZAF,3.3,32,118.3
KOR,23.4,62.4,122.2
SSD,,,
ESP,8.6,48.6,110.7
LKA,35.3,32.5,20.9
SDN,,,
SUR,,,
SWE,8.2,62.8,144.7
CHE,10.7,106.8,183.5
SYR,,23.8,
TUR,9.7,38.2,60.4
TWN,23.5,49.4,108.2
TJK,,26.2,
TZA,,24.1,
THA,23.8,35.3,53.3
TLS,,,
TGO,,,
TON,,,
TTO,,49.4,
TUN,12,27.5,38.2
TKM,,,
TUV,,,
UGA,,25.4,
UKR,12.9,26.1,52.3
ARE,8.3,53.4,131.6
GBR,8.7,64.2,131.7
USA,3.4,64.8,163.4
URY,15.2,51.3,55.9
UZB,,24.9,
VUT,,,
VEN,16.1,35.6,18.9
VNM,27.3,25.9,47.2
ESH,,,
YEM,,50.1,
ZMB,,33.5,
ZWE,,33.4,