abbr,cost,index,rank
AFG,,,
ALB,83.7,48.2,92
DZA,98.6,54.5,81
AND,,,
AGO,,,
ATG,,,
ARG,122.9,67.9,37
ARM,106,60,61
AUS,132.6,73.1,20
AUT,143.3,78.5,5
AZE,85.3,49.1,90
BHS,,,
BHR,,,
BGD,71.2,41.7,97
BRB,,,
BLR,87,49.3,89
BEL,137.5,75.8,13
BLZ,,,
BEN,,,
BTN,,,
BOL,,,
BIH,98.2,54.9,80
BWA,,,
BRA,105.3,59.2,63
BRN,,,
BGR,103.3,58.2,69
BFA,,,
BDI,,,
KHM,92.1,51.6,87
CMR,,,
CAN,125.8,68.6,33
CPV,,,
CYM,,,
CAF,,,
TCD,,,
CHL,116,63.7,51
CHN,123.7,68.7,32
COL,124,68.9,31
COM,,,
COG,,,
COK,,,
CRI,117.6,65.1,46
CIV,,,
HRV,118.1,64.8,48
CUB,,,
CYP,98.7,56.5,76
CZE,138.6,75.5,14
COD,,,
DNK,144.1,78.3,6
DJI,,,
DMA,,,
DOM,102.8,58.4,66
ECU,141.6,78,7
EGY,81.5,47.5,93
SLV,,,
GNQ,,,
ERI,,,
EST,137.1,74.8,16
SWZ,,,
ETH,,,
FLK,,,
FJI,,,
FIN,141.3,77.4,8
FRA,141,77.2,11
GUF,,,
GAB,,,
GMB,,,
GEO,98.5,56.4,77
DEU,130.2,71.7,25
GHA,100.8,57,73
GRC,104.4,58.5,65
GRL,,,
GRD,,,
GTM,120,67.2,40
GIN,,,
GNB,,,
GUY,,,
HTI,,,
HND,,,
HUN,97.2,54.1,83
ISL,123.9,67.9,38
IND,117.1,65.5,44
IDN,108.6,61.2,59
IRN,91.9,52.7,85
IRQ,79,46.3,95
IRL,93.7,51.5,88
ISR,134.5,73.4,19
ITA,117.3,64.9,47
JAM,,,
JPN,146.2,80.2,4
JOR,117.8,65.5,45
KAZ,107.3,60.7,60
KEN,110.7,62.2,54
KIR,,,
KWT,104.2,58.4,67
KGZ,,,
LAO,,,
LVA,112.7,62.9,53
LBN,118.8,63.7,50
LSO,,,
LBR,,,
LBY,,,
LIE,,,
LTU,136.2,74.7,17
LUX,136.4,75.1,15
MDG,,,
MWI,,,
MYS,127.5,70.7,29
MDV,,,
MLI,,,
MLT,91.7,52.8,84
MHL,,,
MRT,,,
MUS,,,
MEX,131.1,72.7,21
FSM,,,
MDA,,,
MCO,,,
MNG,,,
MNE,78.4,43.9,96
MAR,80.6,47,94
MOZ,,,
MMR,,,
NAM,,,
NPL,101.6,57.7,71
NLD,147.6,80.6,3
NCL,,,
NZL,123.1,68.1,36
NIC,,,
NER,,,
NGA,84.8,49.1,91
PRK,,,
MKD,99.1,55.3,79
NOR,138.3,75.8,12
OMN,112.7,63.3,52
PAK,104.8,59.4,62
PLW,,,
PSE,,,
PAN,108.5,61.2,58
PNG,,,
PRY,,,
PER,99.4,56.7,75
PHL,119.4,66.8,41
POL,103.4,58,70
PRT,130.7,72,23
PRI,107.4,59.1,64
QAT,133.8,73.5,18
ROU,100.2,56.8,74
RUS,109.5,61.7,57
RWA,,,
KNA,,,
LCA,,,
VCT,,,
WSM,,,
SMR,,,
STP,,,
SAU,110.4,61.9,55
SEN,,,
SRB,93.7,52.3,86
SYC,,,
SLE,,,
SGP,133.2,71.8,24
SVK,105,58.2,68
SVN,122.3,66.3,43
SLB,,,
SOM,,,
ZAF,115.4,64,49
KOR,151.6,82.8,2
SSD,,,
ESP,142,77.3,9
LKA,128.8,71.4,26
SDN,,,
SUR,,,
SWE,125.4,68.6,34
CHE,132.3,70.8,28
SYR,58.1,35.2,99
TUR,128.5,71.3,27
TWN,160.1,87,1
TJK,,,
TZA,,,
THA,140.7,77.3,10
TLS,,,
TGO,,,
TON,,,
TTO,100.6,54.3,82
TUN,100.3,57.2,72
TKM,,,
TUV,,,
UGA,,,
UKR,97.8,55.8,78
ARE,130.1,70.7,30
GBR,132.9,72.5,22
USA,123.7,67.5,39
URY,123.8,68.5,35
UZB,,,
VUT,,,
VEN,69.3,39.6,98
VNM,108.9,61.9,56
ESH,,,
YEM,,,
ZMB,,,
ZWE,,,